pais,clave_pais,PIB2019_dolaresUS10,PIB2019_dolarescorrientes,PIB2019_PPP17,Poblacion_2019
Afghanistan,AFG,21808863987,19291104008,78557606649,38041757
Albania,ALB,14862643983,15286612573,39021039212,2854191
Algeria,DZA,2.02404E+11,1.71158E+11,4.95565E+11,43053054
American Samoa,ASM,522466367.7,638000000,,55312
Andorra,AND,3545618454,3155065488,,77146
Angola,AGO,99013511554,89417190341,2.12285E+11,31825299
Antigua and Barbuda,ATG,1499945611,1661962963,2092704429,97115
Argentina,ARG,4.37813E+11,4.45445E+11,9.91523E+11,44938712
Armenia,ARM,13996188672,13672802158,40384118258,2957728
Aruba,ABW,,,,106310
Australia,AUS,1.4505E+12,1.39657E+12,1.25448E+12,25365745
Austria,AUT,4.48762E+11,4.45075E+11,4.95795E+11,8879920
Azerbaijan,AZE,59095142977,48174235294,1.44744E+11,10024283
"Bahamas, The",BHS,11259359316,13578800000,14450071969,389486
Bahrain,BHR,34359547872,38474521277,73951545275,1641164
Bangladesh,BGD,2.09974E+11,3.02563E+11,7.75077E+11,163046173
Barbados,BRB,4621053250,5209000000,4488735151,287021
Belarus,BLR,63335604100,64409647194,1.81605E+11,9417849
Belgium,BEL,5.47012E+11,5.33255E+11,5.94471E+11,11488980
Belize,BLZ,1657330387,1982518541,2830794751,390351
Benin,BEN,14867186408,14391686309,38794036240,11801151
Bermuda,BMU,6025347992,7484113000,5228356032,63913
Bhutan,BTN,2489357935,2530547158,9029048970,763094
Bolivia,BOL,29702635297,40895322851,1.00446E+11,11513102
Bosnia and Herzegovina,BIH,20839450782,20202479538,49174274126,3300998
Botswana,BWA,18654568970,18362348888,40952486642,2303703
Brazil,BRA,2.36445E+12,1.87781E+12,3.11591E+12,211049519
British Virgin Islands,VGB,,,,30033
Brunei Darussalam,BRN,14006979896,13469422941,26906819923,433296
Bulgaria,BGR,63191572278,68558815112,1.61779E+11,6975761
Burkina Faso,BFA,16708316591,15990803570,44266533525,20321383
Burundi,BDI,2399222220,3012308946,8667121392,11530577
Cabo Verde,CPV,2148955357,1981845741,3944045537,549936
Cambodia,KHM,20920953618,27089389787,72356150510,16486542
Cameroon,CMR,39288422139,39007354359,94248950400,25876387
Canada,CAN,1.95323E+12,1.74158E+12,1.84233E+12,37593384
Cayman Islands,CYM,5244938347,5935769351,4782361653,64948
Central African Republic,CAF,1823368094,2220307319,4484868174,4745179
Chad,TCD,12976290262,11314951343,25190111031,15946882
Channel Islands,CHI,,,,172264
Chile,CHL,2.85037E+11,2.79385E+11,4.73186E+11,18952035
China,CHN,1.152E+13,1.42799E+13,2.24925E+13,1397715000
Colombia,COL,3.9484E+11,3.2343E+11,7.34216E+11,50339443
Comoros,COM,1190720126,1165839900,2603293974,850891
"Congo, Dem. Rep.",COD,36767977989,50400746171,95291603469,86790568
"Congo, Rep.",COG,12285408139,12693562948,20676194614,5380504
Costa Rica,CRI,51334498838,63951114302,1.05016E+11,5047561
Cote d'Ivoire,CIV,44419766992,58539424930,1.34049E+11,25716554
Croatia,HRV,67154066753,60752588976,1.1689E+11,4065253
Cuba,CUB,77122848823,1.03131E+11,,11333484
Curacao,CUW,,3101787709,3856413796,157441
Cyprus,CYP,28678642450,24949065264,35478115084,1198574
Czech Republic,CZE,2.589E+11,2.50686E+11,4.34306E+11,10671870
Denmark,DNK,3.82979E+11,3.50104E+11,3.35365E+11,5814422
Djibouti,DJI,,3324634256,5388410350,973557
Dominica,DMA,496232291.6,574607407.4,854936750,71808
Dominican Republic,DOM,85937885074,88941299734,1.97735E+11,10738957
Ecuador,ECU,88517916638,1.08108E+11,1.97549E+11,17373657
"Egypt, Arab Rep.",EGY,3.02183E+11,3.03081E+11,1.18089E+12,100388076
El Salvador,SLV,23107097884,26896660000,56765826331,6453550
Equatorial Guinea,GNQ,12488757320,11417278045,25089143689,1355982
Eritrea,ERI,,,,
Estonia,EST,27646985211,31471100656,48869752579,1326898
Eswatini,SWZ,5531910971,4471598727,9898977769,1148133
Ethiopia,ETH,67542461143,95912590628,2.48972E+11,112078727
Faroe Islands,FRO,,3126293220,,48677
Fiji,FJI,4217157352,5496250694,12178465330,889955
Finland,FIN,2.72273E+11,2.68966E+11,2.68843E+11,5521606
France,FRA,2.97192E+12,2.71552E+12,3.0823E+12,67248926
